最满意的一点,最不满意的一点,空间,动力,操控,电耗 ,舒适性,外观,内饰,Column11,Column12
当下新能源车最大的短板依然是充电速度。而特斯拉遍布全国的超级充电站能让车主放心的出行。,天窗！抬头望望天，天是那么的蓝。但是那恐怖的温度也不是盖的。在河南6月的天，中午车内温度轻松突破60度。即使开了空调，靠近天窗依然能感受到那一层于总不同的温度。,空间旁边的是旧车，尺寸上两车几乎不差。但得益于电动车没有发动机变速箱，乘坐空间上优势明显。本人170，日常驾驶基本是跟媳妇两人。后排地板中间是平的，四个成年人也能坐下。,动力加速表现：0-100官方3.3秒，迄今为止没敢测试过，因为试驾时销售小姐姐试了一下有点晕。其他品牌的四驱高性能也试驾过，感觉上还是有些差距的。平顺性：个人觉得是个电动车就不需要考虑平顺性，因为没有发动机的...,,,,,,,
"底盘稳，操控性超级好，不输BMW。 
动力方面那是指哪打哪，反应迅速，一脚踩到底能让你有要起飞的感觉…
智能化是它的强项，辅助驾驶功能简直是高速神器。 
外观方面也没得说，虽然上市这么久了偶尔还是会被围观。 
用车成本：只能用省来形容，目前跑了2000km多一点，自有充电桩加外出充电两次，总共花费200左右，后期据说也基本不用保养。
不知道我买的这款是不是优化了，感觉安全方面调教过于谨慎，车道偏离还有前车预警都会非常早的提醒，之前确实担心不安全，后来发现多虑了。最近发现车道偏离时还会方向盘震动提醒，像游戏手柄一样，确实是个不错的大玩具。不到30能有这样的驾驶体验，只能说真香……",交付过于简单，电动车的操作方式确实与传统油车相差较大，感觉还没熟悉操作...,,,,,,,,,
高性能Model3 动力很不错 充电没有排放 不限号 在性能差里因为是电车充电成本很低 保养成本也很低 而且可以自动辅助驾驶 在环路排行跟车 堵车排行跟车 节约了90%的精力 如果是堵车99%的精力都能节约 以前很反感堵车 现在有所缓解 动力响应也很迅速 这个也是油车比不了的,超级充电桩如果能有加油站那么多就好了 充电速度都还可以 如果超级充电站多 完全可以用到5%的电再去充电 5%冲13分钟就可以到50% 或者28分钟冲到80% 就可以走了,空间我自己够用了 要想这个加速能有这个空间这个价位只有这个车了,动力3D6新电机 实测是3.59秒 这个就不解释了,操控超控至今还比较满意 还要多开开才能感觉到和其他...,,,,,,
提速快，速度可超过911，是一款性能媲美911的车,我是个职业车手，如果用Bose音箱就完美了，要说胎噪音 那是没办法解决的问题，毕竟500万的超跑胎噪也是一样很大,空间空间：我178都不觉得空间小，而且后排空间还能放倒睡两个成年人,动力动力：超跑悬架结构。车身低稳健，急速过弯非常敏锐,操控操控：方向盘精准，动力系统非常敏感，一触即发，就是一款家用超跑,电耗电耗：我一般都是用运动模式开，基本三五天充一次电，,舒适性舒适性：至于舒适特性那就不要说了，就是超跑的感觉,外观外观：外观时尚简洁大气，外观时尚简洁大气，外观时尚简洁大气，,内饰内饰：最简洁的模式就...,,
驾驶无顿挫动力线性加速非常猛，省钱省心，外观洋气,续航偏短，车机不完善不能连接硬盘播放本地视频,空间本人身高172，老婆162感觉空间非常不错，前后排都蛮大储物空间：后备箱口有点小不好塞东西，载物需求高的建议Y,动力快慢随心，丝滑无顿挫，单油门不一样的体验,操控操作精准，方向盘有力量感不虚，路感清晰姿态很好,电耗电耗感觉有点偏高，不过家里有电桩没什么担忧，买电车最好家里能按电桩,舒适性家里人朋友坐了都说好，座椅很软又有支撑，选了白色的质感很好,外观洋气洋气洋气好事说三遍，国产的技术虽然上来了，但是外形设计都吐露着一股乡味,内饰简约不简单，一屏在手天...,,
最满意的是这个内饰和很多人不一样 我比较喜欢这个极简的风格,不满意的是呃 这个充电可能续航 我因为才开嘛 所以有点担心,空间空间：主要是我一个人使用 所以后排基本上不做人 我一个人开肯定是够的,动力动力：不同于传统油车 它这个动力非常的直接呃 非常的顺滑 没有拖拽感,操控操控：目前还没有走过山路 正常的城市道路底盘调教非常的舒服,电耗电耗：正常的点好大概充个电 开个350~400km左右 空调都是正常开的,舒适性舒适性：舒适性肯定不如我家里面的五系 但是呃二十多万的车还要什么自行车 正常这个座椅还是挺软的 老婆也说不错,外观外观：初期我选择了金属器 它会更亮一点 我...,,,
1、动力无敌，推背感十足 。2、用车成本低，短距离通勤能手。3、科技感爆棚，智能驾驶无压力。4、外型时尚美观，回头率高。5、价格实惠亲民。6、操控一流，甚至超过了宝马的操控。特斯拉YYDS。,1、本人180体重196，空间不足，适合两人乘坐，当然也没想过和行政版轿车比较。2、提速过快，有些乘客反映晕车，跟本人驾驶习惯和单踏板模式有关系。,空间空间：本人身高180体重190，空间对我而言有点小，前排较舒服，后排确实有点委屈。,动力动力：爆炸输出，猛的一塌糊涂，460多匹的马力，带一两四米六的小车，不能仅仅用小钢炮来形容，路上几乎没有一样快的车，除了遇到过一次迈凯轮。,操控操控：操控一流，胜于同级别BBA。跟奔...,,,,,,
马路上超车动力随踩随到，源源不断，提速响应非常快。辅助驾驶在北京的环路上婉如一个老司机，加速减速很平稳，上下车不用点火按钮，体验很好。内饰极简,内饰过于简单了，没有一点豪华氛围，做工也一般，缝隙简直是5万元车的表现。风噪大，语音功能太少了，后排空间实话说并不富裕,空间空间真是一般，前排调整舒适后，后排就捉襟见肘.坐5个人出行那简直是灾难，最多四个人的短途就是极限了。,动力加速真是厉害，线性程度很好，路上超车轻而易举，一般开轻松模式就好了，运动模式上头，受不了,操控指向精准，指哪打哪，而且电动助力很轻松。,电耗电耗平时一般在18左右吧，偶尔运动一把到25，开启单踏板模式控制好黄金右脚，最低开过1...,,,,,
比油车费用要省，新车送1500公里充电额度，比较经济。,减震有些硬，内饰有些简单，大玻璃有些晒。,空间空间还不错，后排有些挤。应该足够用了，储物空间还可以,动力加速快，加速百米5秒多，这个速度足够给力了。,操控转向良好，指向明确，开惯了日系车，感觉方向盘有些重。,电耗续航也就是300多公里，能在远些就好了，有长续航版可供选择，但要贵好些呢。,舒适性座椅有些硬，隔音还好吧，在接受的范围内。,外观外观新颖，动感强，感觉新潮。线条流畅，有点跑车的感觉,内饰内饰简洁，科技感强，习惯了反觉得有车的内饰有些落伍。,性价比自动驾驶功能不错，后期费用比较...,
动力这一块是我最满意的 还有驾驶感受是之前的车送给不到我的 非常的爽,新车刚起 目前没有看到什么 缺点 可能后期有我再更新,空间空间：我爸爸算是比较胖的 他坐第二排从来 没有这么舒服过 这是他的原话 中间一家人出行的时候 女儿挤在中间 她也不会感觉到特别的累,动力动力：动力是我对这个车最满意的地方 三十多万的车价 能够体会到百万级别车的一个动力输出 不下雨 一个3点你的车,操控操控：操控的话呃 和动力一样 都是非常优秀的表现 我觉得 这个价位无敌,电耗电耗：都是拿最牛的 就是它的一个电池管理技术点好 控制的非常不错 我对基本上是个时表时走 不会有太大的出入 这样是非常有自信的,舒适性...,,,,
